entity,method_cnt,method_post,protocol_1_0,status_major,status_404,status_499,status_cnt,path_same,path_xmlrpc,ua_cnt,has_payload,bytes_avg,bytes_std
118.91.65.55,1.0,0.0,False,0.0,0.0,False,7.0,0.12320916905444126,0.0,4.0,True,1983396.676217765,7008842.339237148
94.143.43.112,1.0,1.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,166.0,0.0
104.248.171.151,1.0,1.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,197.0,0.0
143.198.94.117,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,396.0,0.0
173.230.152.19,1.0,0.0,False,0.0,0.0,False,2.0,0.16666666666666666,0.0,1.0,True,230.16666666666666,74.16292125374304
188.166.233.5,2.0,0.0,False,0.0,0.0,False,2.0,0.75,0.0,1.0,True,247.25,164.2488584435216
64.227.74.166,1.0,0.0,True,0.0,0.0,False,2.0,0.07692307692307693,0.0,0.0,True,200.30769230769232,118.84533233472602
167.172.47.36,1.0,0.0,True,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
185.254.196.186,2.0,0.4909090909090909,False,0.0,0.0,False,2.0,0.509090909090909,0.0,1.0,True,340.2181818181818,186.3768119511058
162.216.150.63,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
104.248.143.84,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
139.162.84.205,1.0,0.0,True,0.0,0.0,False,2.0,1.0,0.0,1.0,True,902.7589285714286,830.3107878286096
185.254.196.173,2.0,0.4745762711864407,False,0.0,0.0,False,3.0,0.5254237288135594,0.0,1.0,True,338.59887005649716,185.92004416840587
35.197.184.38,1.0,0.0,True,0.0,0.0,False,2.0,0.5,0.0,0.0,True,166.0,0.0
223.83.130.192,1.0,0.0,True,0.0,0.0,False,1.0,1.0,0.0,1.0,True,612.0,0.0
123.191.157.205,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,612.0,0.0
220.250.11.195,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,564.0,0.0
198.235.24.65,0.0,0.0,False,0.0,0.0,False,1.0,0.0,0.0,0.0,True,166.0,0.0
45.56.108.128,1.0,0.0,True,0.0,0.0,False,1.0,1.0,0.0,1.0,True,488.8421052631579,145.5426373258998
71.6.232.20,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,396.0,0.0
184.105.139.69,0.0,0.0,False,0.0,0.0,False,1.0,0.0,0.0,0.0,True,166.0,0.0
66.240.205.34,0.0,0.0,False,0.0,0.0,False,1.0,0.0,0.0,0.0,True,166.0,0.0
115.194.211.220,2.0,0.1111111111111111,True,0.0,0.0,False,3.0,0.4444444444444444,0.0,0.0,True,362.8888888888889,222.81653860641316
45.79.181.251,0.0,0.0,False,0.0,0.0,False,1.0,0.0,0.0,0.0,True,166.0,0.0
128.199.106.52,1.0,0.0,False,0.0,0.0,False,2.0,0.3333333333333333,0.0,0.0,True,172.0,8.48528137423857
94.76.224.227,1.0,0.0,True,0.0,0.0,False,1.0,0.023255813953488372,0.0,0.0,True,162.0,0.0
3.239.83.162,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,3.0,True,396.0,0.0
111.20.101.120,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,166.0,0.0
178.62.80.43,0.0,0.0,False,0.0,0.0,False,1.0,0.0,0.0,0.0,True,166.0,0.0
66.240.236.116,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,320.5,75.5
180.149.125.169,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,396.0,0.0
35.240.121.17,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,396.0,0.0
205.210.31.8,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
