entity,method_cnt,method_post,protocol_1_0,status_major,status_404,status_499,status_cnt,path_same,path_xmlrpc,ua_cnt,has_payload,bytes_avg,bytes_std,cluster_kmeans,cluster_dbscan,pca_1,pca_2,cluster,tsne-2d-one,tsne-2d-two
118.91.65.55,0.3333333333333333,0.0,False,0.0,0.0,False,0.9999999999999999,0.1232091690544412,0.0,0.3076923076923077,True,0.05389552092200312,0.07493323688922485,1,0,0.667692460991649,0.08887054535223401,-1,9.643943,5.1577616
94.143.43.112,0.3333333333333333,1.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,4.510775166828115e-06,0.0,0,1,-0.20599129366137775,-0.2697360112968882,0,32.199005,-23.583387
104.248.171.151,0.3333333333333333,1.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,5.353148842561077e-06,0.0,0,1,-0.20422555822711957,-0.27238512300802453,0,31.429363,-21.611702
143.198.94.117,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.0760644373879118e-05,0.0,0,0,-0.27826265765125185,-0.21070879616974597,1,0.5703889,-17.81921
173.230.152.19,0.3333333333333333,0.0,False,0.0,0.0,False,0.16666666666666666,0.1666666666666666,0.0,0.07692307692307693,True,6.254398097780749e-06,7.928938158007582e-07,1,0,0.5220204225293743,0.053037953633017575,1,18.526466,20.792046
188.166.233.5,0.6666666666666666,0.0,False,0.0,0.0,False,0.16666666666666666,0.75,0.0,0.07692307692307693,True,6.718609397579828e-06,1.756024464929361e-06,0,0,-0.051414668645519176,-0.14600620533431333,2,-7.8262634,12.300086
64.227.74.166,0.3333333333333333,0.0,True,0.0,0.0,False,0.16666666666666666,0.0769230769230769,0.0,0.0,True,5.4430299047360575e-06,1.2706043323534027e-06,1,2,0.2944290166650501,1.0294471604170836,3,-5.2666364,47.15091
167.172.47.36,0.3333333333333333,0.0,True,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,2,-0.5899068253681834,0.737946966173632,3,-21.095078,39.35136
185.254.196.186,0.6666666666666666,0.4909090909090909,False,0.0,0.0,False,0.16666666666666666,0.509090909090909,0.0,0.07692307692307693,True,9.244865818366668e-06,1.99259979389275e-06,1,0,0.21056347840626355,-0.10178186496473716,2,18.10004,-14.683408
162.216.150.63,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,0,-0.28002835710618423,-0.20805967507623196,1,-16.976067,-37.00195
104.248.143.84,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,0,-0.2800283571061842,-0.20805967507623174,1,-16.976067,-37.00195
